symbol,name,sector,marketcap
ANTM,Anthem,Health Care,81683497881
AON,Aon plc,Financials,51919892925
APA,APA Corporation,Energy,8173130949
AAPL,Apple Inc.,Information Technology,2014236294356
AMAT,Applied Materials Inc.,Information Technology,103402041760
APTV,Aptiv PLC,Consumer Discretionary,40150062516
ADM,Archer-Daniels-Midland Co,Consumer Staples,32605793119
ANET,Arista Networks,Information Technology,20769173600
AJG,Arthur J. Gallagher & Co.,Financials,24265935000
AIZ,Assurant,Financials,8033469475
T,AT&T Inc.,Communication Services,213881600727
ATO,Atmos Energy,Utilities,11638300097
ADSK,Autodesk Inc.,Information Technology,57971539181
ADP,Automatic Data Processing,Information Technology,77915038934
AZO,AutoZone Inc,Consumer Discretionary,27861848000
AVB,AvalonBay Communities,Real Estate,25837608838
AVY,Avery Dennison Corp,Materials,14964174750
BKR,Baker Hughes Co,Energy,24917480000
BLL,Ball Corp,Materials,27945905252
BAC,Bank of America Corp,Financials,322622151598
BAX,Baxter International Inc.,Health Care,39256683496
BDX,Becton Dickinson,Health Care,69121294433
BRK.B,Berkshire Hathaway,Financials,608157613440
BBY,Best Buy Co. Inc.,Consumer Discretionary,28004902145
BIO,Bio-Rad Laboratories,Health Care,16885160494
BIIB,Biogen Inc.,Health Care,40004875945
BLK,BlackRock,Financials,111193650450
BA,Boeing Company,Industrials,143190235462
BKNG,Booking Holdings Inc,Consumer Discretionary,97051591082
BWA,BorgWarner,Consumer Discretionary,12201498473
BXP,Boston Properties,Real Estate,16594854788
BSX,Boston Scientific,Health Care,55751310656
BMY,Bristol-Myers Squibb,Health Care,136512142433
AVGO,Broadcom Inc.,Information Technology,178625374239
BR,Broadridge Financial Solutions,Information Technology,16487462185
BF.B,Brown-Forman Corp.,Consumer Staples,33599768703
CHRW,C. H. Robinson Worldwide,Industrials,12648193350
COG,Cabot Oil & Gas,Energy,7664864256
CDNS,Cadence Design Systems,Information Technology,35396220353
CPB,Campbell Soup,Consumer Staples,14505006923
COF,Capital One Financial,Financials,59484929190
CAH,Cardinal Health Inc.,Health Care,16495331022
KMX,Carmax Inc,Consumer Discretionary,21707351046
CCL,Carnival Corp.,Consumer Discretionary,29402361240
CARR,Carrier Global,Industrials,33710832458
CTLT,Catalent,Health Care,17541841344
CAT,Caterpillar Inc.,Industrials,120544900908
CBOE,Cboe Global Markets,Financials,11095173019
CBRE,CBRE Group,Real Estate,25777204750
CDW,CDW,Information Technology,22056632384
CE,Celanese,Materials,16847662721
CNC,Centene Corporation,Health Care,35820319117
CNP,CenterPoint Energy,Utilities,11759683299
CERN,Cerner,Health Care,21694804580
CF,CF Industries Holdings Inc,Materials,10556620391
SCHW,Charles Schwab Corporation,Financials,122408762992
CHTR,Charter Communications,Communication Services,121870298681
CVX,Chevron Corp.,Energy,214540611780
CMG,Chipotle Mexican Grill,Consumer Discretionary,39870761716
CB,Chubb Limited,Financials,78105013728
CHD,Church & Dwight,Consumer Staples,19888891573
CI,Cigna,Health Care,83816754549
CINF,Cincinnati Financial,Financials,17127712500
CTAS,Cintas Corporation,Industrials,37079792097
CSCO,Cisco Systems,Information Technology,203870049805
C,Citigroup Inc.,Financials,153939628750
CFG,Citizens Financial Group,Financials,18968247113
CTXS,Citrix Systems,Information Technology,16204195769
CME,CME Group Inc.,Financials,74184379700
CMS,CMS Energy,Utilities,16495755914
KO,Coca-Cola Company,Consumer Staples,221671003362
CTSH,Cognizant Technology Solutions,Information Technology,40337274498
CL,Colgate-Palmolive,Consumer Staples,64321077989
CMCSA,Comcast Corp.,Communication Services,262059325566
CMA,Comerica Inc.,Financials,9833540729
CAG,Conagra Brands,Consumer Staples,17984593660
COP,ConocoPhillips,Energy,80498351219
ED,Consolidated Edison,Utilities,24096033007
STZ,Constellation Brands,Consumer Staples,43513709814
CPRT,Copart Inc,Industrials,25680567957
GLW,Corning Inc.,Information Technology,29943290206
CTVA,Corteva,Materials,34970914000
COST,Costco Wholesale Corp.,Consumer Staples,143344638876
CCI,Crown Castle,Real Estate,65533515945
CSX,CSX Corp.,Industrials,71362840157
CMI,Cummins Inc.,Industrials,40425152632
CVS,CVS Health,Health Care,95335504498
DHI,D. R. Horton,Consumer Discretionary,29856295848
DHR,Danaher Corp.,Health Care,151649677675
DRI,Darden Restaurants,Consumer Discretionary,18518305042
DVA,DaVita Inc.,Health Care,11717834066
DE,Deere & Co.,Industrials,113220435962
DAL,Delta Air Lines Inc.,Industrials,30503426113
XRAY,Dentsply Sirona,Health Care,13594119180
DVN,Devon Energy,Energy,16086731243
DXCM,DexCom,Health Care,34276647175
FANG,Diamondback Energy,Energy,13654254651
DLR,Digital Realty Trust Inc,Real Estate,38049729065
DFS,Discover Financial Services,Financials,30549550463
DISCA,Discovery Inc. (Series A),Communication Services,28785244762
DISCK,Discovery Inc. (Series C),Communication Services,28785244762
DISH,Dish Network,Communication Services,18826369113
DG,Dollar General,Consumer Discretionary,45949938297
DLTR,Dollar Tree,Consumer Discretionary,25360753790
D,Dominion Energy,Utilities,58981503984
DPZ,Domino's Pizza,Consumer Discretionary,13889115435
DOV,Dover Corporation,Industrials,19115373482
DOW,Dow Inc.,Materials,47761467520
DTE,DTE Energy Co.,Utilities,24460092670
DUK,Duke Energy,Utilities,69787005263
DRE,Duke Realty Corp,Real Estate,14733855035
DD,DuPont de Nemours Inc,Materials,41266039054
DXC,DXC Technology,Information Technology,7383226000
EMN,Eastman Chemical,Materials,15883626917
ETN,Eaton Corporation,Industrials,55435425000
EBAY,eBay Inc.,Consumer Discretionary,37655865141
ECL,Ecolab Inc.,Materials,62020874848
EIX,Edison Int'l,Utilities,22081856722
EW,Edwards Lifesciences,Health Care,51822588716
EA,Electronic Arts,Communication Services,37425893715
EMR,Emerson Electric Company,Industrials,55034752332
ENPH,Enphase Energy,Information Technology,19666715814
ETR,Entergy Corp.,Utilities,18933331689
EOG,EOG Resources,Energy,43831454841
EFX,Equifax Inc.,Industrials,21016590371
EQIX,Equinix,Real Estate,57028163658
EQR,Equity Residential,Real Estate,26615605061
ESS,Essex Property Trust Inc.,Real Estate,17722051187
EL,Estée Lauder Companies,Consumer Staples,103477118850
ETSY,Etsy,Consumer Discretionary,25957269646
RE,Everest Re Group Ltd.,Financials,10006798288
EVRG,Evergy,Utilities,12924517923
ES,Eversource Energy,Utilities,28019940414
EXC,Exelon Corp.,Utilities,40869509275
EXPE,Expedia Group,Consumer Discretionary,24108813173
EXPD,Expeditors,Industrials,16506897504
EXR,Extra Space Storage,Real Estate,17041500277
XOM,Exxon Mobil Corp.,Energy,261502185077
FFIV,F5 Networks,Information Technology,11818496511
FB,Facebook Inc.,Communication Services,754347500719
FAST,Fastenal Co,Industrials,26505838026
FRT,Federal Realty Investment Trust,Real Estate,8133565186
FDX,FedEx Corporation,Industrials,69029793379
FIS,Fidelity National Information Services,Information Technology,90386694733
FITB,Fifth Third Bancorp,Financials,27030155839
FRC,First Republic Bank,Financials,29692120779
FE,FirstEnergy Corp,Utilities,18768077835
FISV,Fiserv Inc,Information Technology,82919316008
FLT,FleetCor Technologies Inc,Information Technology,23804423512
FLIR,FLIR Systems,Information Technology,7164282440
FLS,Flowserve Corporation,Industrials,5252728280
FMC,FMC Corporation,Materials,13756797702
F,Ford Motor Company,Consumer Discretionary,50450252533
FTNT,Fortinet,Information Technology,29449430909
FTV,Fortive Corp,Industrials,23482522486
FBHS,Fortune Brands Home & Security,Industrials,12464686655
FOXA,Fox Corporation (Class A),Communication Services,23935968599
FOX,Fox Corporation (Class B),Communication Services,23935968599
BEN,Franklin Resources,Financials,14464662904
FCX,Freeport-McMoRan Inc.,Materials,50259219464
GPS,Gap Inc.,Consumer Discretionary,11276974207
GRMN,Garmin Ltd.,Consumer Discretionary,24308444073
IT,Gartner Inc,Information Technology,16327509551
GD,General Dynamics,Industrials,49357810775
GE,General Electric,Industrials,116175231500
GIS,General Mills,Consumer Staples,35805751559
GM,General Motors,Consumer Discretionary,81887031598
GPC,Genuine Parts,Consumer Discretionary,16629680328
GILD,Gilead Sciences,Health Care,80308858438
GPN,Global Payments Inc.,Information Technology,61871122359
GL,Globe Life Inc.,Financials,10446042556
GS,Goldman Sachs Group,Financials,118268596888
GWW,Grainger (W.W.) Inc.,Industrials,20736182351
HAL,Halliburton Co.,Energy,21339928440
HBI,Hanesbrands Inc,Consumer Discretionary,6927267512
HIG,Hartford Financial Svc.Gp.,Financials,19559601554
HAS,Hasbro Inc.,Consumer Discretionary,13290150785
HCA,HCA Healthcare,Health Care,63010598000
PEAK,Healthpeak Properties,Real Estate,16575368466
HSIC,Henry Schein,Health Care,9389802761
HES,Hess Corporation,Energy,21762272797
HPE,Hewlett Packard Enterprise,Information Technology,19712346253
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,34564972673
HFC,HollyFrontier Corp,Energy,6654142748
HOLX,Hologic,Health Care,17716839670
HD,Home Depot,Consumer Discretionary,286634239726
HON,Honeywell Int'l Inc.,Industrials,148079120457
HRL,Hormel Foods Corp.,Consumer Staples,26056740426
HST,Host Hotels & Resorts,Real Estate,11666737745
HWM,Howmet Aerospace,Industrials,13637176355
HPQ,HP Inc.,Information Technology,37901648866
HUM,Humana Inc.,Health Care,51932675878
HBAN,Huntington Bancshares,Financials,16631956138
HII,Huntington Ingalls Industries,Industrials,7562304324
IEX,IDEX Corporation,Industrials,15196214016
IDXX,Idexx Laboratories,Health Care,41754520175
INFO,IHS Markit,Industrials,37255853448
ITW,Illinois Tool Works,Industrials,67759333407
ILMN,Illumina Inc,Health Care,58279756781
INCY,Incyte,Health Care,17224698714
IR,Ingersoll Rand,Industrials,20506922561
INTC,Intel Corp.,Information Technology,252859500000
ICE,Intercontinental Exchange,Financials,64922049856
IBM,International Business Machines,Information Technology,114263867234
IFF,International Flavors & Fragrances,Materials,33650138870
IP,International Paper,Materials,21470848480
IPG,Interpublic Group,Communication Services,11399984159
INTU,Intuit Inc.,Information Technology,104831430805
ISRG,Intuitive Surgical Inc.,Health Care,84734593292
IVZ,Invesco Ltd.,Financials,11564031482
IPGP,IPG Photonics Corp.,Information Technology,11036485110
IQV,IQVIA Holdings Inc.,Health Care,36385871633
IRM,Iron Mountain Incorporated,Real Estate,10642735340
JBHT,J. B. Hunt Transport Services,Industrials,16595685000
JKHY,Jack Henry & Associates,Information Technology,11371229282
J,Jacobs Engineering Group,Industrials,16228228500
SJM,JM Smucker,Consumer Staples,13267576986
JNJ,Johnson & Johnson,Health Care,418354405955
JCI,Johnson Controls International,Industrials,43381982230
JPM,JPMorgan Chase & Co.,Financials,473380140679
JNPR,Juniper Networks,Information Technology,8102566855
KSU,Kansas City Southern,Industrials,19465061984
K,Kellogg Co.,Consumer Staples,20544133342
KEY,KeyCorp,Financials,20500129484
KEYS,Keysight Technologies,Information Technology,25173578572
KMB,Kimberly-Clark,Consumer Staples,45441661905
KIM,Kimco Realty,Real Estate,8320141653
KMI,Kinder Morgan,Energy,36759824121
KLAC,KLA Corporation,Information Technology,43672560630
KHC,Kraft Heinz Co,Consumer Staples,48327642196
KR,Kroger Co.,Consumer Staples,26829869557
LB,L Brands Inc.,Consumer Discretionary,15226467750
LHX,L3Harris Technologies,Industrials,39261051469
LH,Laboratory Corp. of America Holding,Health Care,22703711523
LRCX,Lam Research,Information Technology,74126381344
LW,Lamb Weston Holdings Inc,Consumer Staples,11809385307
LVS,Las Vegas Sands,Consumer Discretionary,47373530805
LEG,Leggett & Platt,Consumer Discretionary,6558918799
LDOS,Leidos Holdings,Information Technology,13404792482
LEN,Lennar Corp.,Consumer Discretionary,27933236334
LLY,Lilly (Eli) & Co.,Health Care,196908618775
LNC,Lincoln National,Financials,11809268551
LIN,Linde plc,Materials,138886162698
LYV,Live Nation Entertainment,Communication Services,19225203590
LKQ,LKQ Corporation,Consumer Discretionary,12942322484
LMT,Lockheed Martin Corp.,Industrials,95470305494
L,Loews Corp.,Financials,13485873500
LOW,Lowe's Cos.,Consumer Discretionary,123144264907
LUMN,Lumen Technologies,Communication Services,15224250365
LYB,LyondellBasell,Materials,36387084209
MTB,M&T Bank,Financials,20145402140
MRO,Marathon Oil Corp.,Energy,9646370450
MPC,Marathon Petroleum,Energy,37891179698
MKTX,MarketAxess,Financials,19635884822
MAR,Marriott International,Consumer Discretionary,47734275761
MMC,Marsh & McLennan,Financials,59635743674
MLM,Martin Marietta Materials,Materials,21231145907
MAS,Masco Corp.,Industrials,14613380330
MA,Mastercard Inc.,Information Technology,379166402036
MXIM,Maxim Integrated Products,Information Technology,23292763308
MKC,McCormick & Co.,Consumer Staples,22935308997
MCD,McDonald's Corp.,Consumer Discretionary,159037961499
MCK,McKesson Corp.,Health Care,29178089126
MDT,Medtronic plc,Health Care,159962347116
MRK,Merck & Co.,Health Care,189166429565
MET,MetLife Inc.,Financials,53488457163
MTD,Mettler Toledo,Health Care,24695440000
MGM,MGM Resorts International,Consumer Discretionary,18616369331
MCHP,Microchip Technology,Information Technology,38052107812
MU,Micron Technology,Information Technology,95545694206
MSFT,Microsoft Corp.,Information Technology,1752961828909
MAA,Mid-America Apartments,Real Estate,15423109528
MHK,Mohawk Industries,Consumer Discretionary,12991108125
TAP,Molson Coors Beverage Company,Consumer Staples,10182275598
MDLZ,Mondelez International,Consumer Staples,79346683720
MPWR,Monolithic Power Systems,Information Technology,14754287777
MNST,Monster Beverage,Consumer Staples,47215448605
MCO,Moody's Corp,Financials,54470423913
MS,Morgan Stanley,Financials,156245254173
MSI,Motorola Solutions Inc.,Information Technology,30046416351
MSCI,MSCI Inc,Financials,33840739569
NDAQ,Nasdaq Inc.,Financials,23821204482
NTAP,NetApp,Information Technology,14838583475
NFLX,Netflix Inc.,Communication Services,223458247084
NWL,Newell Brands,Consumer Discretionary,10738134388
NEM,Newmont Corporation,Materials,46562280400
NWSA,News Corp (Class A),Communication Services,14859992578
NWS,News Corp (Class B),Communication Services,14859992578
NEE,NextEra Energy,Utilities,145932290705
NLSN,Nielsen Holdings,Industrials,9295435996
NKE,Nike Inc.,Consumer Discretionary,174942790953
NI,NiSource Inc.,Utilities,8671852619
NSC,Norfolk Southern Corp.,Industrials,65318264632
NTRS,Northern Trust Corp.,Financials,21118913299
NOC,Northrop Grumman,Industrials,50015400000
NLOK,NortonLifeLock,Information Technology,12225740143
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,9327018969
NOV,NOV Inc.,Energy,6506416448
NRG,NRG Energy,Utilities,9968589530
NUE,Nucor Corp.,Materials,20106182887
NVDA,Nvidia Corporation,Information Technology,309212606811
NVR,NVR Inc.,Consumer Discretionary,17581965785
ORLY,O'Reilly Automotive,Consumer Discretionary,33271096871
OXY,Occidental Petroleum,Energy,27350443624
ODFL,Old Dominion Freight Line,Industrials,26419575553
OMC,Omnicom Group,Communication Services,16463621914
OKE,Oneok,Energy,22671909664
ORCL,Oracle Corp.,Information Technology,212323740166
OTIS,Otis Worldwide,Industrials,28730703750
PCAR,Paccar,Industrials,33510643559
PKG,Packaging Corporation of America,Materials,13354656987
PH,Parker-Hannifin,Industrials,39537508724
PAYX,Paychex Inc.,Information Technology,34151754599
PAYC,Paycom,Information Technology,22735792272
PYPL,PayPal,Information Technology,283506582897
PNR,Pentair plc,Industrials,9952215570
PBCT,People's United Financial,Financials,7859444610
PEP,PepsiCo Inc.,Consumer Staples,184288172746
PKI,PerkinElmer,Health Care,13486661529
PRGO,Perrigo,Health Care,5539455377
PFE,Pfizer Inc.,Health Care,194826547742
PM,Philip Morris International,Consumer Staples,135112739486
PSX,Phillips 66,Energy,38630593066
PNW,Pinnacle West Capital,Utilities,8841814216
PXD,Pioneer Natural Resources,Energy,34327930000
PNC,PNC Financial Services,Financials,75382363972
POOL,Pool Corporation,Consumer Discretionary,13806593291
PPG,PPG Industries,Materials,35181741067
PPL,PPL Corp.,Utilities,21116327395
PFG,Principal Financial Group,Financials,16703059904
PG,Procter & Gamble,Consumer Staples,313571684822
PGR,Progressive Corp.,Financials,54017681275
PLD,Prologis,Real Estate,72263940902
PRU,Prudential Financial,Financials,36841601211
PEG,Public Service Enterprise Group (PSEG),Utilities,29164076441
PSA,Public Storage,Real Estate,41950917423
PHM,PulteGroup,Consumer Discretionary,12983604506
PVH,PVH Corp.,Consumer Discretionary,7491121329
QRVO,Qorvo,Information Technology,18730301756
QCOM,Qualcomm,Information Technology,145260323120
PWR,Quanta Services Inc.,Industrials,11828823554
DGX,Quest Diagnostics,Health Care,15596851155
RL,Ralph Lauren Corporation,Consumer Discretionary,8965042164
RJF,Raymond James Financial,Financials,16171402772
RTX,Raytheon Technologies,Industrials,116331155410
O,Realty Income Corporation,Real Estate,22933656110
REG,Regency Centers Corporation,Real Estate,10130294144
REGN,Regeneron Pharmaceuticals,Health Care,50132327117
RF,Regions Financial Corp.,Financials,20664100110
RSG,Republic Services Inc,Industrials,30566401568
RMD,ResMed,Health Care,26975931960
RHI,Robert Half International,Industrials,8655193991
ROK,Rockwell Automation Inc.,Industrials,30625427725
ROL,Rollins Inc.,Industrials,16373132055
ROP,Roper Technologies,Industrials,40513136143
ROST,Ross Stores,Consumer Discretionary,43279649311
RCL,Royal Caribbean Group,Consumer Discretionary,22228091802
SPGI,S&P Global Inc.,Financials,82885046469
CRM,Salesforce.com,Information Technology,194522904801
SBAC,SBA Communications,Real Estate,27313582711
SLB,Schlumberger Ltd.,Energy,41878157616
STX,Seagate Technology,Information Technology,17348617900
SEE,Sealed Air,Materials,7257964283
SRE,Sempra Energy,Utilities,38274772890
NOW,ServiceNow,Information Technology,92951352600
SHW,Sherwin-Williams,Materials,63267871158
SPG,Simon Property Group Inc,Real Estate,37550994231
SWKS,Skyworks Solutions,Information Technology,27647134603
SLG,SL Green Realty,Real Estate,5161781553
SNA,Snap-on,Industrials,11864494636
SO,Southern Company,Utilities,63164084730
LUV,Southwest Airlines,Industrials,34560510278
SWK,Stanley Black & Decker,Industrials,30754695967
SBUX,Starbucks Corp.,Consumer Discretionary,126889392562
STT,State Street Corp.,Financials,29282699184
STE,Steris,Health Care,15362638341
SYK,Stryker Corp.,Health Care,90318336768
SIVB,SVB Financial,Financials,27502346863
SYF,Synchrony Financial,Financials,24295317893
SNPS,Synopsys Inc.,Information Technology,34869036761
SYY,Sysco Corp.,Consumer Staples,41460760350
TMUS,T-Mobile US,Communication Services,158345662191
TROW,T. Rowe Price Group,Financials,40029597199
TTWO,Take-Two Interactive,Communication Services,18983638803
TPR,Tapestry Inc.,Consumer Discretionary,11938699199
TGT,Target Corp.,Consumer Discretionary,89446615577
TEL,TE Connectivity Ltd.,Information Technology,43045348798
TDY,Teledyne Technologies,Industrials,14445614270
TFX,Teleflex,Health Care,20015059206
TER,Teradyne,Information Technology,18154753060
TSLA,Tesla Inc.,Consumer Discretionary,641239660060
TXN,Texas Instruments,Information Technology,155906889694
TXT,Textron Inc.,Industrials,11970293750
BK,The Bank of New York Mellon,Financials,40252070598
CLX,The Clorox Company,Consumer Staples,23809720326
COO,The Cooper Companies,Health Care,18822376049
HSY,The Hershey Company,Consumer Staples,22371161905
MOS,The Mosaic Company,Materials,12532821712
TRV,The Travelers Companies,Financials,39189012551
DIS,The Walt Disney Company,Communication Services,354085391408
TMO,Thermo Fisher Scientific,Health Care,173698152927
TJX,TJX Companies Inc.,Consumer Discretionary,78761391767
TSCO,Tractor Supply Company,Consumer Discretionary,19479422618
TT,Trane Technologies plc,Industrials,38966449723
TDG,TransDigm Group,Industrials,32778945662
TRMB,Trimble Inc.,Information Technology,17786598939
TFC,Truist Financial,Financials,79215241372
TWTR,Twitter Inc.,Communication Services,51744195621
TYL,Tyler Technologies,Information Technology,16264073437
TSN,Tyson Foods,Consumer Staples,21824164999
USB,U.S. Bancorp,Financials,80784872246
UDR,UDR Inc.,Real Estate,12864222185
ULTA,Ulta Beauty,Consumer Discretionary,19332165285
UAA,Under Armour (Class A),Consumer Discretionary,9393579191
UA,Under Armour (Class C),Consumer Discretionary,9393579191
UNP,Union Pacific Corp,Industrials,143614957989
UAL,United Airlines Holdings,Industrials,17172225336
UPS,United Parcel Service,Industrials,118884138535
URI,United Rentals Inc.,Industrials,21880713620
UNH,UnitedHealth Group Inc.,Health Care,330483528169
UHS,Universal Health Services,Health Care,11367179467
UNM,Unum Group,Financials,5971355501
VLO,Valero Energy,Energy,33244772432
VAR,Varian Medical Systems,Health Care,16164581885
VTR,Ventas Inc,Real Estate,21419254343
VRSN,Verisign Inc.,Information Technology,21499360190
VRSK,Verisk Analytics,Industrials,28465721789
VZ,Verizon Communications,Communication Services,236205552497
VRTX,Vertex Pharmaceuticals Inc,Health Care,55706826654
VFC,VF Corporation,Consumer Discretionary,31207829761
VIAC,ViacomCBS,Communication Services,51356438747
VTRS,Viatris,Health Care,16971573426
V,Visa Inc.,Information Technology,476975657836
VNT,Vontier,Information Technology,5214844270
VNO,Vornado Realty Trust,Real Estate,8999406604
VMC,Vulcan Materials,Materials,22710602494
WRB,W. R. Berkley Corporation,Financials,13479512000
WBA,Walgreens Boots Alliance,Consumer Staples,43746076716
WMT,Walmart,Consumer Staples,373975002757
WM,Waste Management Inc.,Industrials,51493489603
WAT,Waters Corporation,Health Care,16942486550
WEC,WEC Energy Group,Utilities,27512197475
WFC,Wells Fargo,Financials,163627962629
WELL,Welltower Inc.,Real Estate,30873821019
WST,West Pharmaceutical Services,Health Care,19839597004
WDC,Western Digital,Information Technology,20379938820
WU,Western Union Co,Information Technology,10108681356
WAB,Westinghouse Air Brake Technologies Corp,Industrials,14403320000
WRK,WestRock,Materials,13889975557
WY,Weyerhaeuser,Real Estate,26575671850
WHR,Whirlpool Corp.,Consumer Discretionary,12848800833
WMB,Williams Companies,Energy,29616475536
WLTW,Willis Towers Watson,Financials,28919054663
WYNN,Wynn Resorts Ltd,Consumer Discretionary,15589526176
XEL,Xcel Energy Inc,Utilities,33431014984
XRX,Xerox,Information Technology,5270253614
XLNX,Xilinx,Information Technology,29182373054
XYL,Xylem Inc.,Industrials,18216158000
YUM,Yum! Brands Inc,Consumer Discretionary,31388753733
ZBRA,Zebra Technologies,Information Technology,25156758692
ZBH,Zimmer Biomet,Health Care,33338023713
ZION,Zions Bancorp,Financials,9465300623
ZTS,Zoetis,Health Care,71792874526
